timestamp,endpoint,cache_name,tasks,cost_usd
2026-09-17T10:35:16.471Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-22,1,0.012
2026-09-17T10:35:16.505Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-23,1,0.012
2026-09-17T10:35:16.596Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-24,1,0.012
2026-09-17T10:35:16.616Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-25,1,0.01296
2026-09-17T10:35:16.680Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-26,1,0.012
2026-09-17T10:35:16.741Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-27,1,0.012
2026-09-17T10:35:16.747Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-28,1,0.012
2026-09-17T10:35:16.808Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-29,1,0.012
2026-09-17T10:35:16.964Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-32,1,0.012
2026-09-17T10:35:16.990Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-30,1,0.012
2026-09-17T10:35:17.002Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-31,1,0.012
2026-09-17T10:35:17.127Z,/v3/dataforseo_labs/google/keyword_suggestions/live,keyword_suggestions-pl-2026-09-17-33,1,0.012
2026-09-17T10:35:17.217Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-pl-2026-09-17-01,1,0.012
2026-09-17T10:35:17.250Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-pl-2026-09-17-02,1,0.012
2026-09-17T10:35:17.261Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-pl-2026-09-17-00,1,0.012
2026-09-17T10:35:17.314Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-pl-2026-09-17-03,1,0.012
2026-09-17T10:35:17.378Z,/v3/dataforseo_labs/google/related_keywords/live,related_keywords-pl-2026-09-17-04,1,0.012
